02, 17-04-2017 21:41:40, Power               ,GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Fan speed           ,Fan tachometer      ,Core clock          ,Memory clock        ,Memory usage        ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU usage           ,RAM usage           ,Pagefile usage      
80, 17-04-2017 21:41:40, 91.000              ,62.000              ,42.000              ,29.000              ,0.000               ,1.000               ,90.000              ,2980.000            ,1961.500            ,4006.800            ,3380.590            ,0.000               ,0.000               ,1.000               ,0.000               ,94.000              ,94.000              ,97.000              ,97.000              ,98.000              ,99.000              ,95.000              ,95.000              ,99.000              ,30.469              ,19.531              ,33.594              ,47.656              ,34.375              ,28.125              ,42.969              ,32.813              ,33.691              ,8575.000            ,12258.000           
80, 17-04-2017 21:41:41, 63.000              ,62.000              ,41.000              ,28.000              ,0.000               ,1.000               ,90.000              ,2984.000            ,1961.500            ,4006.800            ,3380.590            ,0.000               ,0.000               ,1.000               ,0.000               ,96.000              ,96.000              ,99.000              ,99.000              ,98.000              ,98.000              ,97.000              ,97.000              ,99.000              ,30.469              ,19.531              ,33.594              ,47.656              ,34.375              ,28.125              ,42.969              ,32.813              ,33.691              ,8583.000            ,12257.000           
80, 17-04-2017 21:41:41, 87.000              ,62.000              ,39.000              ,27.000              ,0.000               ,1.000               ,90.000              ,2964.000            ,1961.500            ,4006.800            ,3380.590            ,0.000               ,0.000               ,1.000               ,0.000               ,95.000              ,95.000              ,97.000              ,97.000              ,98.000              ,98.000              ,98.000              ,98.000              ,98.000              ,29.688              ,15.625              ,21.875              ,45.313              ,31.250              ,28.125              ,23.438              ,32.813              ,28.516              ,8574.000            ,12251.000           
80, 17-04-2017 21:41:42, 9.000               ,59.000              ,8.000               ,8.000               ,0.000               ,4.000               ,90.000              ,3013.000            ,240.000             ,405.000             ,3503.605            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,95.000              ,95.000              ,97.000              ,97.000              ,94.000              ,94.000              ,97.000              ,6.038               ,10.584              ,6.038               ,60.597              ,13.615              ,9.069               ,15.131              ,7.553               ,16.078              ,8766.000            ,12625.000           
80, 17-04-2017 21:41:43, 10.000              ,57.000              ,14.000              ,10.000              ,0.000               ,7.000               ,90.000              ,3028.000            ,240.000             ,405.000             ,3531.145            ,0.000               ,0.000               ,0.000               ,1.000               ,98.000              ,98.000              ,96.000              ,96.000              ,96.000              ,96.000              ,93.000              ,93.000              ,98.000              ,6.038               ,10.584              ,6.038               ,60.597              ,13.615              ,9.069               ,15.131              ,7.553               ,16.078              ,8778.000            ,12583.000           
80, 17-04-2017 21:41:44, 36.000              ,56.000              ,0.000               ,1.000               ,0.000               ,0.000               ,90.000              ,3008.000            ,240.000             ,4006.800            ,3442.840            ,0.000               ,0.000               ,0.000               ,1.000               ,93.000              ,93.000              ,98.000              ,98.000              ,99.000              ,99.000              ,94.000              ,95.000              ,99.000              ,21.154              ,8.654               ,23.077              ,32.692              ,23.077              ,5.769               ,19.231              ,10.577              ,18.029              ,8656.000            ,12390.000           
80, 17-04-2017 21:41:44, 37.000              ,56.000              ,6.000               ,2.000               ,0.000               ,2.000               ,90.000              ,2962.000            ,999.500             ,4006.800            ,3473.805            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,100.000             ,100.000             ,97.000              ,97.000              ,98.000              ,98.000              ,99.000              ,21.154              ,8.654               ,23.077              ,32.692              ,23.077              ,5.769               ,19.231              ,10.577              ,18.029              ,8635.000            ,12448.000           
80, 17-04-2017 21:41:45, 60.000              ,57.000              ,97.000              ,74.000              ,0.000               ,2.000               ,90.000              ,2954.000            ,1594.500            ,4006.800            ,3464.543            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,100.000             ,100.000             ,98.000              ,98.000              ,98.000              ,98.000              ,100.000             ,21.154              ,8.654               ,23.077              ,32.692              ,23.077              ,5.769               ,19.231              ,10.577              ,18.029              ,8677.000            ,12461.000           
80, 17-04-2017 21:41:45, 92.000              ,59.000              ,78.000              ,55.000              ,0.000               ,2.000               ,90.000              ,2954.000            ,1923.500            ,4006.800            ,3464.543            ,0.000               ,1.000               ,0.000               ,0.000               ,96.000              ,96.000              ,100.000             ,99.000              ,98.000              ,98.000              ,97.000              ,97.000              ,100.000             ,51.746              ,39.108              ,49.449              ,55.193              ,51.746              ,42.555              ,47.151              ,51.746              ,48.587              ,8677.000            ,12466.000           
80, 17-04-2017 21:41:46, 99.000              ,60.000              ,98.000              ,70.000              ,0.000               ,3.000               ,90.000              ,2913.000            ,1949.000            ,4006.800            ,3464.543            ,0.000               ,1.000               ,0.000               ,0.000               ,96.000              ,97.000              ,98.000              ,100.000             ,100.000             ,100.000             ,96.000              ,96.000              ,100.000             ,51.746              ,39.108              ,49.449              ,55.193              ,51.746              ,42.555              ,47.151              ,51.746              ,48.587              ,8676.000            ,12466.000           
