02, 17-04-2017 21:00:01, Power               ,GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Fan speed           ,Fan tachometer      ,Core clock          ,Memory clock        ,Memory usage        ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU usage           ,RAM usage           ,Pagefile usage      
80, 17-04-2017 21:00:01, 6.000               ,47.000              ,4.000               ,10.000              ,0.000               ,0.000               ,50.000              ,1643.000            ,240.000             ,405.000             ,1235.762            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,100.000             ,100.000             ,95.000              ,95.000              ,98.000              ,98.000              ,100.000             ,25.528              ,19.854              ,35.457              ,57.444              ,32.620              ,21.981              ,33.330              ,38.294              ,33.064              ,7563.000            ,9220.000            
80, 17-04-2017 21:00:01, 8.000               ,47.000              ,9.000               ,11.000              ,0.000               ,1.000               ,50.000              ,1651.000            ,240.000             ,405.000             ,1235.762            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,96.000              ,96.000              ,98.000              ,98.000              ,97.000              ,97.000              ,98.000              ,25.528              ,19.854              ,35.457              ,57.444              ,32.620              ,21.981              ,33.330              ,38.294              ,33.064              ,7565.000            ,9220.000            
80, 17-04-2017 21:00:02, 6.000               ,47.000              ,5.000               ,9.000               ,0.000               ,0.000               ,50.000              ,1639.000            ,240.000             ,405.000             ,1235.762            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,98.000              ,98.000              ,95.000              ,95.000              ,91.000              ,91.000              ,97.000              ,25.528              ,19.854              ,35.457              ,57.444              ,32.620              ,21.981              ,33.330              ,38.294              ,33.064              ,7564.000            ,9218.000            
80, 17-04-2017 21:00:02, 7.000               ,47.000              ,5.000               ,10.000              ,0.000               ,0.000               ,50.000              ,1651.000            ,240.000             ,405.000             ,1229.848            ,0.000               ,0.000               ,0.000               ,1.000               ,93.000              ,93.000              ,97.000              ,97.000              ,94.000              ,94.000              ,94.000              ,93.000              ,99.000              ,2.420               ,6.079               ,14.617              ,54.869              ,10.958              ,4.859               ,10.958              ,13.398              ,14.770              ,7561.000            ,9207.000            
80, 17-04-2017 21:00:04, 6.000               ,46.000              ,10.000              ,10.000              ,0.000               ,4.000               ,50.000              ,1658.000            ,278.000             ,405.000             ,1349.238            ,0.000               ,0.000               ,0.000               ,1.000               ,93.000              ,93.000              ,98.000              ,98.000              ,97.000              ,97.000              ,93.000              ,93.000              ,98.000              ,2.677               ,9.343               ,8.010               ,37.340              ,20.009              ,10.676              ,12.009              ,5.343               ,13.176              ,7774.000            ,9577.000            
80, 17-04-2017 21:00:04, 5.000               ,46.000              ,10.000              ,9.000               ,0.000               ,5.000               ,50.000              ,1645.000            ,278.000             ,405.000             ,1403.781            ,0.000               ,0.000               ,0.000               ,1.000               ,91.000              ,91.000              ,90.000              ,90.000              ,96.000              ,96.000              ,94.000              ,94.000              ,94.000              ,2.677               ,9.343               ,8.010               ,37.340              ,20.009              ,10.676              ,12.009              ,5.343               ,13.176              ,7778.000            ,9558.000            
80, 17-04-2017 21:00:05, 33.000              ,47.000              ,0.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1641.000            ,278.000             ,4006.800            ,1293.375            ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,95.000              ,95.000              ,97.000              ,97.000              ,94.000              ,94.000              ,97.000              ,11.458              ,12.500              ,25.000              ,32.292              ,11.458              ,7.292               ,26.042              ,15.625              ,17.708              ,7644.000            ,9368.000            
80, 17-04-2017 21:00:06, 33.000              ,47.000              ,6.000               ,1.000               ,0.000               ,2.000               ,50.000              ,1630.000            ,278.000             ,4006.800            ,1248.215            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,95.000              ,95.000              ,96.000              ,96.000              ,95.000              ,95.000              ,96.000              ,11.458              ,12.500              ,25.000              ,32.292              ,11.458              ,7.292               ,26.042              ,15.625              ,17.708              ,7663.000            ,9364.000            
80, 17-04-2017 21:00:06, 33.000              ,47.000              ,3.000               ,1.000               ,0.000               ,1.000               ,50.000              ,1642.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,100.000             ,100.000             ,98.000              ,98.000              ,97.000              ,97.000              ,100.000             ,11.458              ,12.500              ,25.000              ,32.292              ,11.458              ,7.292               ,26.042              ,15.625              ,17.708              ,7640.000            ,9390.000            
80, 17-04-2017 21:00:06, 33.000              ,47.000              ,10.000              ,2.000               ,0.000               ,4.000               ,50.000              ,1648.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,98.000              ,98.000              ,99.000              ,99.000              ,96.000              ,96.000              ,99.000              ,27.920              ,25.595              ,34.896              ,50.009              ,39.546              ,41.871              ,51.172              ,43.034              ,39.255              ,7652.000            ,9380.000            
80, 17-04-2017 21:00:07, 33.000              ,46.000              ,5.000               ,2.000               ,0.000               ,1.000               ,50.000              ,1633.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,98.000              ,99.000              ,100.000             ,100.000             ,95.000              ,95.000              ,99.000              ,27.920              ,25.595              ,34.896              ,50.009              ,39.546              ,41.871              ,51.172              ,43.034              ,39.255              ,7651.000            ,9384.000            
80, 17-04-2017 21:00:07, 33.000              ,47.000              ,5.000               ,2.000               ,0.000               ,1.000               ,50.000              ,1640.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,97.000              ,97.000              ,98.000              ,98.000              ,95.000              ,95.000              ,100.000             ,27.920              ,25.595              ,34.896              ,50.009              ,39.546              ,41.871              ,51.172              ,43.034              ,39.255              ,7651.000            ,9380.000            
80, 17-04-2017 21:00:08, 33.000              ,46.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1639.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,97.000              ,97.000              ,99.000              ,99.000              ,95.000              ,95.000              ,98.000              ,26.042              ,23.958              ,40.625              ,47.917              ,41.667              ,34.375              ,33.333              ,48.958              ,37.109              ,7646.000            ,9381.000            
80, 17-04-2017 21:00:08, 33.000              ,46.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1661.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,95.000              ,94.000              ,99.000              ,99.000              ,95.000              ,95.000              ,99.000              ,26.042              ,23.958              ,40.625              ,47.917              ,41.667              ,34.375              ,33.333              ,48.958              ,37.109              ,7649.000            ,9374.000            
80, 17-04-2017 21:00:09, 33.000              ,46.000              ,1.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1657.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,98.000              ,99.000              ,99.000              ,99.000              ,99.000              ,99.000              ,100.000             ,12.500              ,15.625              ,43.750              ,37.500              ,53.125              ,28.125              ,45.313              ,48.438              ,35.547              ,7659.000            ,9383.000            
80, 17-04-2017 21:00:09, 33.000              ,47.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1663.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,100.000             ,100.000             ,97.000              ,97.000              ,98.000              ,98.000              ,99.000              ,12.500              ,15.625              ,43.750              ,37.500              ,53.125              ,28.125              ,45.313              ,48.438              ,35.547              ,7685.000            ,9397.000            
80, 17-04-2017 21:00:10, 33.000              ,46.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1658.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,100.000             ,100.000             ,100.000             ,100.000             ,97.000              ,97.000              ,100.000             ,26.563              ,29.688              ,42.188              ,31.250              ,29.688              ,12.500              ,46.875              ,53.125              ,33.984              ,7717.000            ,9433.000            
80, 17-04-2017 21:00:10, 33.000              ,46.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1665.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,98.000              ,98.000              ,97.000              ,97.000              ,98.000              ,98.000              ,98.000              ,26.563              ,29.688              ,42.188              ,31.250              ,29.688              ,12.500              ,46.875              ,53.125              ,33.984              ,7750.000            ,9470.000            
80, 17-04-2017 21:00:11, 33.000              ,47.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1648.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,99.000              ,99.000              ,98.000              ,98.000              ,96.000              ,96.000              ,100.000             ,26.563              ,29.688              ,42.188              ,31.250              ,29.688              ,12.500              ,46.875              ,53.125              ,33.984              ,7759.000            ,9474.000            
80, 17-04-2017 21:00:11, 33.000              ,46.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1660.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,99.000              ,99.000              ,98.000              ,98.000              ,98.000              ,97.000              ,97.000              ,31.931              ,18.523              ,40.182              ,43.276              ,45.338              ,24.711              ,37.087              ,62.871              ,37.990              ,7738.000            ,9453.000            
80, 17-04-2017 21:00:12, 33.000              ,46.000              ,1.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1658.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,100.000             ,100.000             ,97.000              ,97.000              ,97.000              ,99.000              ,99.000              ,31.931              ,18.523              ,40.182              ,43.276              ,45.338              ,24.711              ,37.087              ,62.871              ,37.990              ,7749.000            ,9471.000            
80, 17-04-2017 21:00:12, 33.000              ,46.000              ,1.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1659.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,99.000              ,100.000             ,99.000              ,99.000              ,93.000              ,93.000              ,95.000              ,95.000              ,99.000              ,31.931              ,18.523              ,40.182              ,43.276              ,45.338              ,24.711              ,37.087              ,62.871              ,37.990              ,7776.000            ,9501.000            
80, 17-04-2017 21:00:13, 33.000              ,46.000              ,1.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1655.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,98.000              ,97.000              ,100.000             ,100.000             ,95.000              ,97.000              ,99.000              ,34.375              ,23.958              ,46.875              ,36.458              ,37.500              ,15.625              ,35.417              ,63.542              ,36.719              ,7799.000            ,9524.000            
80, 17-04-2017 21:00:13, 33.000              ,46.000              ,1.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1636.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,98.000              ,98.000              ,97.000              ,97.000              ,100.000             ,100.000             ,100.000             ,34.375              ,23.958              ,46.875              ,36.458              ,37.500              ,15.625              ,35.417              ,63.542              ,36.719              ,7805.000            ,9531.000            
80, 17-04-2017 21:00:14, 33.000              ,46.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1653.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,99.000              ,98.000              ,99.000              ,100.000             ,98.000              ,99.000              ,99.000              ,26.181              ,12.340              ,29.257              ,38.484              ,40.022              ,24.643              ,35.408              ,75.394              ,35.216              ,7806.000            ,9537.000            
80, 17-04-2017 21:00:14, 33.000              ,46.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1654.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,93.000              ,93.000              ,98.000              ,97.000              ,99.000              ,100.000             ,96.000              ,96.000              ,99.000              ,26.181              ,12.340              ,29.257              ,38.484              ,40.022              ,24.643              ,35.408              ,75.394              ,35.216              ,7819.000            ,9549.000            
80, 17-04-2017 21:00:15, 33.000              ,46.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1644.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,98.000              ,99.000              ,97.000              ,97.000              ,100.000             ,100.000             ,98.000              ,98.000              ,100.000             ,26.181              ,12.340              ,29.257              ,38.484              ,40.022              ,24.643              ,35.408              ,75.394              ,35.216              ,7873.000            ,9603.000            
80, 17-04-2017 21:00:15, 33.000              ,46.000              ,2.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1650.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,98.000              ,98.000              ,97.000              ,97.000              ,96.000              ,96.000              ,98.000              ,36.554              ,12.896              ,53.759              ,26.875              ,34.403              ,26.875              ,23.649              ,65.588              ,35.075              ,7899.000            ,9633.000            
80, 17-04-2017 21:00:16, 33.000              ,46.000              ,1.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1641.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,97.000              ,97.000              ,97.000              ,97.000              ,97.000              ,98.000              ,99.000              ,36.554              ,12.896              ,53.759              ,26.875              ,34.403              ,26.875              ,23.649              ,65.588              ,35.075              ,7939.000            ,9674.000            
80, 17-04-2017 21:00:16, 33.000              ,46.000              ,1.000               ,1.000               ,0.000               ,0.000               ,50.000              ,1663.000            ,278.000             ,4006.800            ,1248.813            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,100.000             ,100.000             ,98.000              ,98.000              ,97.000              ,97.000              ,100.000             ,27.719              ,20.030              ,53.863              ,18.492              ,55.401              ,16.954              ,29.257              ,64.628              ,35.793              ,7868.000            ,9588.000            
